CRICOS Provider Code,Trading Name,Institution Name,Institution Type,Institution Capacity,Website,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Line 4,Postal Address City,Postal Address State,Postal Address Postcode
00322D,Melbourne Girls Grammar,Melbourne Girls Grammar - An Anglican School,Private,70,www.mggs.vic.edu.au,86 Anderson Street,,,,SOUTH YARRA,VIC,3141
00324B,Mentone Girls Grammar School,Mentone Girls Grammar School,Private,50,www.mentonegirls.vic.edu.au,PO Box 42,,,,MENTONE,VIC,3194
00325A,Methodist Ladies College,Methodist Ladies' College Limited,Private,150,www.mlc.vic.edu.au,207 Barkers Road,,,,KEW,VIC,3101
00331C,Oxley Christian College,Life Ministry Centre Limited,Private,150,www.oxley.vic.edu.au,P O Box 553,,,,LILYDALE,VIC,3140
00333A,Peninsula Grammar,The Peninsula School,Private,150,www.tps.vic.edu.au,Private Bag No. 3,Post Office,,,MOUNT ELIZA,VIC,3930
00334M,Presbyterian Ladies' College,Presbyterian Ladies' College,Private,100,www.plc.vic.edu.au,141 Burwood Highway,,,,BURWOOD,VIC,3125
00340B,Gippsland Grammar School,Gippsland Grammar,Private,20,www.gippslandgs.vic.edu.au,PO Box 465,,,,SALE,VIC,3853
00341A,King's Christian College,King's Christian Education Ltd.,Private,150,www.kingscollege.qld.edu.au,Locked Bag 70,,,,BURLEIGH POST OFFICE,QLD,4220
00343K,St Leonard's College,St Leonard's College,Private,55,www.stleonards.vic.edu.au,163 South Road,,,,BRIGHTON EAST,VIC,3187
00344J,St Margaret's Berwick Grammar,St Margaret's School,Private,60,www.stmargarets.vic.edu.au,P O Box 138,,,,BERWICK,VIC,3806
00345G,St Michael's Grammar,St Michael's Grammar School,Private,50,www.stmichaels.vic.edu.au,25 Chapel Street,,,,ST KILDA,VIC,3182
00348E,Tintern Grammar,Tintern Grammar,Private,70,www.tintern.vic.edu.au,PO Box 26,,,,RINGWOOD EAST,VIC,3135
00349D,Toorak College,Toorak College,Private,90,www.toorakcollege.vic.edu.au,Old Mornington Road,,,,MOUNT ELIZA,VIC,3930
00350M,Trinity Grammar School,Trinity Grammar School Kew,Private,50,www.trinity.vic.edu.au,40 Charles Street,,,,KEW,VIC,3101
00354G,Wesley College Melbourne,Wesley College Melbourne,Private,250,www.wesleycollege.edu.au/,577 St Kilda Road,,,,MELBOURNE,VIC,3004
00355F,Westbourne Grammar School,Westbourne Grammar School,Private,110,www.westbournegrammar.com,P O Box 37,,,,WERRIBEE,VIC,3030
00356E,Yarra Valley Grammar,Yarra Valley Grammar School,Private,110,www.yvg.vic.edu.au,Kalinda Road,,,,RINGWOOD,VIC,3134
00360J,Concordia College,Concordia College Inc,Private,50,www.concordia.sa.edu.au,24 Winchester Street,,,,HIGHGATE,SA,5063
00362G,,Immanuel College,Private,100,www.immanuel.sa.edu.au,32 Morphett Road,,,,NOVAR GARDENS,SA,5040
00365D,,Mercedes College Springfield,Private,100,www.mercedes.catholic.edu.au,540 Fullarton Road,,,,SPRINGFIELD,SA,5062
00366C,Muirden Senior College,Muirden Senior Secondary College,Private,50,www.muirden.sa.edu.au,368 King William Street,,,,ADELAIDE,SA,5000
00367B,Pembroke School Inc,Pembroke School Inc,Private,100,www.pembroke.sa.edu.au,342 The Parade,,,,KENSINGTON PARK,SA,5068
00368A,,Prince Alfred College Inc,Private,80,https://pac.edu.au/,PO Box 571,,,,KENT TOWN,SA,5071
00369M,,Pulteney Grammar School,Private,60,,190 South Terrace,,,,ADELAIDE,SA,5000
00371F,,St Aloysius College,Private,500,www.sac.sa.edu.au,53 Wakefield Street,,,,ADELAIDE,SA,5000
00373D,St Peter's Girls' School,St Peter's Collegiate Girls' School,Private,50,www.stpetersgirls.sa.edu.au,PO Box 1185,,,,KENSINGTON GARDENS,SA,5068
00374C,,Trinity College - North,Private,10,,PO Box 131,,,,GAWLER,SA,5118
00375B,Wilderness School Limited,Wilderness School,Private,50,www.wilderness.com.au,PO Box 93,,,,WALKERVILLE,SA,5081
00379J,St Paul's International College,St Paul's International College,Private,305,www.spic.nsw.edu.au,463 Argyle Street,,,,MOSS VALE,NSW,2577
